Article.ID,data column,data,notes
10,Lead.Author ,Brunialti,
10,Year,2012,
10,Journal,NH,nova.hedwigia
10,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",community.ecology,
10,focal.subject.of.research,plant,
10,biome,temperate.deciduous.forest,
10,ecosystem,fragmented.deciduous.forest,
10,Country,Italy,
10,region,Tuscany,
10,Municipality,NA,
10,field station,Bandite.di.follonica.nature.reserve,
10,Latitude,NA,
10,Longitude,NA,
10,habitat.1,Forest.margin,
10,replicates.habitat.1,3,
10,sampling.dist.hab1,plot,
10,reps.per.dist.1,18,
10,dist.btwn.pts.1,variable,
10,layout,random,
10,var.1,AT,air.temperature
10,var.2,RH,relative.humidity
10,var.3,PAR,Photosynthetic.active.radiation
10,equip.var.1,datalogger,LI-1400-104.AT.sensor
10,equip.var.2,datalogger,LI-1400-104.AT.sensor
10,equip.var.3,datalogger,LI-190SZ.Quantum.sensor
10,start.date,2005-04-21,
10,end.date,2005-04-22,
10,time.var.1,replicated.3.times,
10,time.var.2,replicated.3.times,
10,time.var.3,replicated.3.times,
10,comparisons,EE.and.its.effect.on.species.richness.and.composition.of.epiphytic.lichen.community.colinizing.tree.trunk,
10,statistical analysis?,Y,
10,statistica methods,Sign.test,
10,significant differences observed (Y/N),NA,
10,summary of results,Oak.forest.patches.andepiphytic.lichen.diversity.are.influenced;by.microclimatic.variables.and.EE,
10,summary of results,Light.rather.than.RH.and.AT.is.the.main.driving.factor.afecting.lichen.diversity.at.the.edge,
10,summary of results,RH.is.theprevailing.factor.inside.the.forest,
10,summary of results,Fragmentation.has.a.impact.inepiphytic.lichens.diversity,
10,data archived? Y/N,N,
10,data archive ,NA,
10,accession number,NA,
10,was cited before,Y,
10,citations,5,
