Article.ID,data column,data,notes,
15,Lead.Author ,Matlack,,
15,Year,1992,,
15,Journal,BC,biological.conservation,
15,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",ecophysiology,,
15,focal.subject.of.research,abiotic,,
15,biome,Eastern.deciduous.forest,,
15,ecosystem,oak.chestnut.forest,,
15,Country,USA,,
15,state,Delaware.Pennsylvania,eastern.USA,
15,Municipality,NA,,
15,field station,NA,,
15,Latitude,39°45’-40°02’N,,
15,Longitude,75°20’-75°37’W,,
15,habitat.1,mature.regrowth.forest,,
15,habitat.2,NA,,
15,replicates.habitat.1,1,,
15,replicates.habitat.2,NA,,
15,sampling.dist.hab1,grid,50x50m,
15,sampling.dist.hab2,NA,,
15,reps.per.dist.1,10,at.each.distance,
15,reps.per.dist.2,NA,,
15,dist.btwn.pts.1,5m.or.10m,,
15,dist.btwn.pts.2,NA,,
15,layout,grid,,
15,var.1,AT,air.temperature,formerly 'temperature'
15,var.2,RH,relative.humidity,
15,var.3,TF,throughfall.precipitation,
15,var.4,PFD,,
15,var.5,VPD,,
15,equip.var.1,mercury.thermometers,0.3m.above.forest.floor,
15,equip.var.2,electronic.hygrometer,Cole.Parmer.Chicago.III,
15,equip.var.3,mounted.cylinders,,
15,equip.var.4,photochemical.meters,,
15,equip.var.5,NA,,
15,start.date,1989-07-01,,
15,end.date,1989-07-02,,
15,time.var.1,noon.solar.time.on.clear.days,,
15,time.var.2,noon.solar.time.on.clear.days,,
15,time.var.3,noon.solar.time.on.clear.days,,
15,time.var.4,8.to.10.days,,
15,time.var.5,noon.solar.time.on.clear.days,,
15,comparisons,How.edge.zone.width.varies.among.stands,,
15,comparisons,NA,,
15,comparisons,NA,,
15,statistical analysis?,Y,,
15,statistica methods,regressions,,
15,significant differences observed (Y/N),Y,,
15,summary of results,Up.to.50m.from.edge.significant.effects.were.detected.in.light.temperature.litter.moisture.VPD.humidity,,
15,summary of results,all.sites.were.darker.cooler.received.less.rainfall.and.lower.VPD.than.adjacent.areas,,
15,summary of results,correlation.was.observed.among.microclimate.variables,,
15,summary of results,Local.radiation.produced.edge.oriented.gradients.at.all.sites,,
15,summary of results,NA,,
15,data archived? Y/N,N,,
15,data archive ,N,,
15,accession number,NA,,
15,was cited before,Y,,
15,citations,389,,
