Article.ID,data column,data,notes
12,Lead.Author ,Ribeiro,
12,Year,2008,
12,Journal,ABB,
12,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",ecophysiology,
12,focal.subject.of.research,plant,
12,biome,cerrado,
12,ecosystem,Cerrado,
12,Country,Brazil,
12,state,Goiás,
12,Municipality,NA,
12,field station,NA,
12,Latitude,16°45’S,
12,Longitude,52°23’W,
12,habitat.1,fragment.edge,
12,habitat.2,fragment.interior,
12,habitat.3,matrix,
12,replicates.habitat.1,3,
12,replicates.habitat.2,3,
12,replicates.habitat.3,3,
12,sampling.dist.hab1,random,
12,sampling.dist.hab2,random,
12,sampling.dist.hab3,random,
12,reps.per.dist.1,10,
12,reps.per.dist.2,10,
12,reps.per.dist.3,10,
12,dist.btwn.pts.1,NA,
12,dist.btwn.pts.2,NA,
12,dist.btwn.pts.3,NA,
12,layout,random.point,
12,var.1,AT,air.temperature
12,var.2,RH,relative.humidity
12,var.3,ST,soil.temperature
12,equip.var.1,Termo.Higrometro.Digital.MINIPA,
12,equip.var.2,Termo.Higrometro.Digital.MINIPA,
12,equip.var.3,termometro.com.coluna.de.mercurio,
12,start.date,NA,
12,end.date,NA,
12,time.var.1,different.measurements.btw.8am.5pm,
12,time.var.2,different.measurements.btw.8am.5pm,
12,time.var.3,different.measurements.btw.8am.5pm,
12,comparisons,test.EE.influence.in.vegetation.and.population.parameters.in.Cerradão,
12,statistical analysis?,Y,
12,statistica methods,t.bi.caudal,
12,significant differences observed (Y/N),N,
12,summary of results,Strong.influence.of.edge.effects.on.all.parameters,
12,summary of results,Microclimate.paramaters.were.all.different.btw.interior.and.edge.habitats,
12,summary of results,fragmentation.modifies.vegetation.structure.and.composition.plant.population.dynamics.and.spatial.structure,
12,data archived? Y/N,N,
12,data archive ,N,
12,accession number,NA,
12,was cited before,Y,
12,citations,11,
